PRODUCT_ID;REAL_LINES;VOLUME;FREQUENCY
1953;237;477000;0.915384615
26582;289;7657000;2.223076923
38249;259;8103375;0.996153846
40643;684;5100000;2.638461538
50968;281;3200;1.080769231
60208;331;128000;1.276923077
60459;355;23120;1.369230769
60579;4720;2193750;18.18461538
202341;401;1463000;1.546153846
202342;385;1309000;1.480769231
202343;297;1215000;1.142307692
202928;1043;26366250;4.015384615
203857;476;10350000;1.830769231
203858;231;6480000;0.888461538
203859;519;10080000;1.996153846
203982;316;17301000;1.215384615
206499;258;324000;0.992307692
206503;379;476100;1.457692308
213950;8275;176000;31.97307692
216435;301;607750;1.161538462
216703;740;531250;2.85
216704;335;531250;1.288461538
220929;453;1666000;1.742307692
224119;306;686000;1.176923077
225386;1523;1102500;5.861538462
226976;506;156000;1.95
228342;247;2950750;0.95
229138;4299;384420;16.56153846
230515;254;1400560;0.980769231
230516;312;1822500;1.215384615
230519;255;1374416;0.980769231
236120;5156;24000;19.89230769
237311;418;2140000;1.611538462
238159;309;1423520;1.188461538
243744;302;1453683;1.161538462
251830;301;186702;1.161538462
251834;411;1440000;1.592307692
256312;231;1202940;0.9
259768;3735;3176250;14.40769231
260347;484;1392020;1.865384615
260348;246;1360544;0.946153846
260349;498;1377585;1.915384615
260350;694;1846845;2.673076923
260351;339;1839292;1.303846154
260352;418;1846845;1.607692308
260353;266;1903356;1.023076923
260354;404;1423520;1.565384615
260355;358;1403184;1.376923077
260356;235;1411000;0.919230769
273118;261;500500;1.003846154
273124;286;15330000;1.1
273126;282;12390000;1.084615385
274946;308;1020000;1.184615385
274948;252;998250;0.969230769
282188;256;10000;0.984615385
282299;3927;434600;15.10384615
282301;3222;424000;12.39230769
282302;1283;274176;4.938461538
282306;527;400000;2.030769231
282309;438;600000;1.688461538
282311;1476;1080000;5.684615385
282341;696;312500;2.676923077
283507;3078;15834000;12.03846154
284978;353;2500400;1.361538462
285709;755;1904000;2.911538462
285713;349;5950000;2.692307692
285718;260;540000;1.003846154
285720;232;3795000;1.784615385
286794;391;112500;1.507692308
286799;236;4368000;0.907692308
286800;606;4244520;2.330769231
286802;391;5360000;1.503846154
288312;874;1320000;3.365384615
288313;277;2886000;1.069230769
302754;423;512000;1.626923077
304495;332;4610400;1.276923077
304916;267;600000;1.026923077
304923;273;198000;1.05
304927;265;304000;1.019230769
304931;254;475000;0.976923077
304938;415;654500;1.596153846
304939;239;1584000;0.919230769
304983;535;126000;2.057692308
304984;759;344250;2.934615385
305541;373;8934750;1.434615385
305542;1996;96148;7.692307692
305698;395;1645000;1.534615385
305910;327;703125;1.257692308
308976;318;153125;1.223076923
312361;2538;2204000;9.803846154
312363;1083;2850000;4.2
312371;902;1144800;3.473076923
312373;531;3180000;2.046153846
314146;277;10319985;1.065384615
314147;307;8379000;1.184615385
315673;516;263670;1.996153846
315939;318;1565600;1.234615385
332070;350;1396533;1.353846154
332071;245;1282500;0.942307692
332073;423;1522384;1.630769231
332074;312;1282500;1.2
332076;268;1596000;1.030769231
335506;287;2280000;1.103846154
336548;3186;80500;12.28076923
336549;4056;90625;15.62307692
336550;567;82500;2.180769231
336551;3564;93750;13.73076923
337111;1839;225000;7.080769231
337295;245;37740000;0.942307692
337378;367;200000;1.415384615
337812;253;962500;0.992307692
339782;439;600600;1.688461538
340230;519;3131100;1.996153846
340231;391;3087000;1.503846154
340232;1300;3360000;5.007692308
341429;340;336000;1.323076923
341529;305;8000;1.173076923
355410;354;320000;1.365384615
360055;363;1036000;1.4
360486;507;1193500;1.957692308
361581;253;13338000;0.973076923
362096;352;1368000;1.357692308
365814;588;3390660;2.265384615
365944;476;14742000;1.830769231
369624;333;2214072;1.280769231
369638;249;6895824;0.957692308
369639;422;7482000;1.623076923
369641;309;7670000;1.211538462
369643;250;7239309;1.923076923
369655;347;5342400;1.338461538
369656;330;1497088;1.269230769
369658;811;2620800;3.134615385
369659;589;5398830;2.273076923
369675;950;2382600;3.673076923
369676;463;3582000;1.792307692
369685;2337;1625000;18.05384615
369686;253;1899240;0.980769231
369698;295;2246244;1.134615385
370598;918;1920000;3.542307692
372627;276;20235600;1.061538462
373105;444;31600000;1.707692308
373419;265;725760;1.019230769
375956;783;1009470;3.015384615
375957;313;2154600;1.207692308
375980;340;840000;1.311538462
375981;346;504000;1.330769231
375982;1301;1638000;5.015384615
376196;387;468000;1.488461538
376894;452;923000;1.738461538
376957;1396;777600;5.396153846
376959;476;807300;1.869230769
376961;233;789750;0.896153846
376967;305;868560;1.173076923
378544;427;1827000;1.642307692
380919;954;266800;3.669230769
382390;519;1312500;2.003846154
382520;964;25935000;3.719230769
382941;608;1552500;2.338461538
384257;245;904750;0.946153846
385459;337;1607760;1.3
386052;1296;39105000;4.992307692
386229;400;3028125;1.538461538
386230;239;2520000;0.919230769
386231;1295;13167000;5.015384615
386232;636;12996000;2.453846154
386233;323;13689000;1.242307692
388328;243;1012000;0.934615385
401263;325;2520000;1.257692308
401266;312;3996000;1.2
405032;4404;24122340;16.99615385
405033;688;7032375;2.657692308
405312;295;228000;1.138461538
406473;293;1424500;1.138461538
408428;724;1270500;2.796153846
408429;330;690000;1.276923077
409175;302;190000;1.161538462
409176;916;250000;3.534615385
409177;720;300000;2.773076923
409178;565;350000;2.173076923
409179;425;400000;1.634615385
409181;378;550000;1.453846154
409187;286;72000;1.1
409188;862;250000;3.326923077
409189;920;300000;3.55
